,Cases,Deaths,Population,Median Age,Household Income,Heart Disease,Stroke,County,State,Cases per Capita,Deaths per Capita
0,6104,57.0,25233.0,42.8,35947.0,321.0,78.6,Abbeville,South Carolina,0.24190544128720326,0.0022589466175246702
1,14951,269.0,61847.0,35.5,37587.0,476.2,93.6,Acadia,Louisiana,0.24174171746406456,0.004349442980257733
2,6569,90.0,33289.0,44.8,39328.0,411.2,92.1,Accomack,Virginia,0.19733245216137463,0.0027035957823905795
6,5535,56.0,25573.0,29.0,34733.0,335.1,80.7,Adair,Missouri,0.21643921323270637,0.002189809564775349
7,6678,65.0,22427.0,36.7,32556.0,575.0,62.7,Adair,Oklahoma,0.2977660855219155,0.002898292237035716
10,20940,218.0,67152.0,40.6,45073.0,312.9,77.8,Adams,Illinois,0.3118298784846319,0.003246366452227782
11,7066,105.0,34424.0,34.3,46695.0,309.8,72.6,Adams,Indiana,0.20526376946316524,0.0030501975366023703
13,6221,129.0,32308.0,40.3,27381.0,340.3,108.5,Adams,Mississippi,0.19255292806735175,0.003992819116008419
14,5958,57.0,31367.0,38.0,49440.0,315.5,50.3,Adams,Nebraska,0.18994484649472376,0.001817196416616189
16,6485,129.0,28406.0,40.4,35678.0,432.9,91.7,Adams,Ohio,0.22829683869605014,0.004541294092797296
17,23387,321.0,101496.0,41.9,59492.0,354.0,55.8,Adams,Pennsylvania,0.2304228738078348,0.003162686214235044
19,4317,47.0,20741.0,50.0,44897.0,294.2,59.3,Adams,Wisconsin,0.2081384696977002,0.0022660431030326407
20,3673,13.0,36811.0,42.3,57565.0,303.2,56.5,Addison,Vermont,0.09977995707804732,0.0003531553068376301
21,37880,383.0,161710.0,40.3,44509.0,342.5,80.5,Aiken,South Carolina,0.23424649063137715,0.002368437326077546
24,42740,388.0,152472.0,38.8,43043.0,321.8,81.4,Alamance,North Carolina,0.28031376252689016,0.002544729524109345
28,9262,45.0,36745.0,27.0,42774.0,261.8,65.7,Albany,Wyoming,0.25206150496666213,0.0012246564158388895
29,13460,124.0,100636.0,38.7,67725.0,215.2,61.7,Albemarle,Virginia,0.13374935410787392,0.0012321634405183036
31,8960,125.0,37159.0,40.4,33600.0,518.5,102.0,Alcorn,Mississippi,0.24112597217363224,0.0033639226028687533
33,9563,121.0,37071.0,41.1,40637.0,311.7,76.7,Alexander,North Carolina,0.25796444660246554,0.003264006905667503
37,25344,305.0,111742.0,39.6,52061.0,303.2,67.5,Allegan,Michigan,0.22680818313615292,0.0027295018882783554
38,15359,319.0,74394.0,41.2,39293.0,388.5,84.4,Allegany,Maryland,0.2064548216253999,0.004287980213458074
39,8249,142.0,48618.0,38.2,42445.0,350.0,57.4,Allegany,New York,0.16966966966966968,0.0029207289481262082
45,5830,88.0,20123.0,39.6,40008.0,387.9,82.1,Allen,Kentucky,0.28971823286786264,0.004373105401779059
46,7181,120.0,25674.0,38.9,38429.0,457.0,106.1,Allen,Louisiana,0.2796993066915946,0.004673989249824725
47,26508,416.0,105895.0,38.1,42823.0,389.0,80.8,Allen,Ohio,0.25032343358987674,0.003928419660984938
49,5125,123.0,29399.0,46.4,38016.0,432.8,96.5,Alpena,Michigan,0.17432565733528352,0.0041838157760468045
51,7958,73.0,37422.0,49.1,53684.0,300.0,70.2,Amador,California,0.21265565710010154,0.001950724172946395
53,6133,69.0,32244.0,42.8,44945.0,337.1,91.5,Amherst,Virginia,0.19020592978538642,0.002139933010792706
56,5481,59.0,21575.0,38.5,52646.0,337.5,79.7,Anderson,Kentucky,0.25404403244495943,0.0027346465816917727
57,54138,857.0,188480.0,40.1,41579.0,353.1,73.7,Anderson,South Carolina,0.2872347198641766,0.004546901528013582
58,18176,284.0,75263.0,42.6,43620.0,391.3,78.8,Anderson,Tennessee,0.24149980734225315,0.0037734344897227055
59,9187,218.0,58262.0,38.7,40653.0,482.4,88.1,Anderson,Texas,0.15768425388761115,0.0037417184442689916
62,17465,187.0,107634.0,40.2,44921.0,310.4,77.4,Androscoggin,Maine,0.16226285374509913,0.0017373692327703142
63,14669,442.0,87042.0,36.4,41354.0,395.1,140.3,Angelina,Texas,0.16852783713609523,0.005078008317823579
66,5932,87.0,26569.0,40.0,33870.0,402.2,91.1,Anson,North Carolina,0.22326771801723813,0.0032744928299898377
68,3957,53.0,23504.0,48.3,45362.0,311.8,86.0,Antrim,Michigan,0.16835432266848196,0.002254935330156569
69,20058,569.0,71978.0,32.7,31476.0,271.2,72.2,Apache,Arizona,0.2786684820361777,0.007905193253494123
73,3529,70.0,23627.0,49.3,42476.0,347.7,61.7,Aransas,Texas,0.14936301688745926,0.0029627121513522664
83,14461,299.0,68614.0,44.9,45241.0,357.4,66.1,Armstrong,Pennsylvania,0.2107587372839362,0.004357711254262978
85,8318,112.0,71230.0,45.7,37855.0,287.6,64.1,Aroostook,Maine,0.11677663905657729,0.0015723711919135195
86,33209,264.0,109920.0,34.5,69070.0,342.4,84.9,Ascension,Louisiana,0.30211972343522564,0.00240174672489083
87,5371,67.0,27180.0,45.7,35951.0,293.7,61.0,Ashe,North Carolina,0.19760853568800588,0.00246504782928624
88,11480,191.0,53234.0,39.9,46548.0,361.3,76.4,Ashland,Ohio,0.21565165120036067,0.003587932524326558
90,4675,56.0,21645.0,39.7,35683.0,449.6,101.1,Ashley,Arkansas,0.21598521598521597,0.002587202587202587
91,18823,370.0,100835.0,41.4,40516.0,428.9,70.6,Ashtabula,Ohio,0.186671294689344,0.0036693608370109584
92,3928,55.0,21802.0,43.6,43175.0,301.1,75.6,Asotin,Washington,0.1801669571598936,0.0025227043390514633
93,5248,62.0,23268.0,39.0,46116.0,414.5,79.0,Assumption,Louisiana,0.22554581399346743,0.0026646037476362387
94,12196,216.0,45714.0,35.6,47543.0,357.4,83.0,Atascosa,Texas,0.26678916743229647,0.004725029531434571
97,13257,111.0,64811.0,26.8,33823.0,335.7,73.1,Athens,Ohio,0.2045486105753653,0.0017126722315656292
102,5322,93.0,25584.0,38.8,43013.0,347.9,80.2,Audrain,Missouri,0.2080206378986867,0.0036350844277673548
104,11109,157.0,45906.0,40.2,52239.0,376.3,83.0,Auglaize,Ohio,0.24199451052150045,0.0034200322397943623
105,16824,156.0,73726.0,43.5,52027.0,272.0,63.2,Augusta,Virginia,0.22819629438732605,0.0021159428152890433
107,5048,60.0,28573.0,40.3,53265.0,329.2,60.9,Austin,Texas,0.17667028313442762,0.0020998845063521505
108,13251,163.0,54907.0,37.5,53682.0,381.2,107.0,Autauga,Alabama,0.24133534886262226,0.002968656091208771
110,10814,186.0,41765.0,38.5,33942.0,513.5,104.5,Avoyelles,Louisiana,0.2589249371483299,0.00445348976415659
114,7942,127.0,27069.0,36.2,49236.0,371.0,100.4,Baker,Florida,0.2933983523587868,0.004691713768517492
117,50313,608.0,187114.0,41.5,50221.0,366.1,82.5,Baldwin,Alabama,0.26888955396175596,0.003249356007567579
118,9043,207.0,46018.0,34.1,32751.0,534.2,83.2,Baldwin,Georgia,0.19651006128036855,0.004498239819201182
122,3242,68.0,20533.0,49.7,49215.0,304.6,81.0,Bandera,Texas,0.15789217357424634,0.0033117420737349633
125,18900,224.0,83091.0,32.1,43534.0,356.2,81.8,Bannock,Idaho,0.2274614579196303,0.002695839501269692
128,5054,83.0,27321.0,38.3,32911.0,547.6,96.1,Barbour,Alabama,0.18498590827568537,0.0030379561509461584
132,5439,88.0,22399.0,38.9,35231.0,392.0,86.6,Barnwell,South Carolina,0.2428233403276932,0.003928746819054422
133,11310,192.0,42504.0,39.8,38873.0,413.7,89.5,Barren,Kentucky,0.2660926030491248,0.004517221908526256
134,12741,125.0,45826.0,43.3,44054.0,314.1,61.0,Barron,Wisconsin,0.27802993933574827,0.0027277091607384456
135,20950,223.0,69933.0,34.2,53274.0,311.1,87.6,Barrow,Georgia,0.2995724479144324,0.00318876639068823
136,13375,147.0,59121.0,41.9,52186.0,328.6,73.5,Barry,Michigan,0.22623095008541805,0.002486426142994875
137,6167,101.0,35614.0,42.4,38710.0,425.2,75.0,Barry,Missouri,0.17316223956870894,0.0028359633851856012
138,19852,227.0,77930.0,37.9,54165.0,316.5,79.5,Bartholomew,Indiana,0.25474143462081356,0.0029128705248299756
139,6068,81.0,27602.0,39.8,44981.0,332.8,55.3,Barton,Kansas,0.21983914209115282,0.002934569958698645
141,27636,407.0,100382.0,36.7,47197.0,433.4,87.8,Bartow,Georgia,0.275308322209161,0.00405451176505748
142,20326,198.0,74730.0,38.3,51750.0,339.6,69.8,Bastrop,Texas,0.2719925063562157,0.0026495383380168605
146,8058,217.0,41281.0,50.9,35343.0,359.5,78.6,Baxter,Arkansas,0.19519875971996803,0.005256655604273152
147,42327,713.0,170704.0,39.7,47461.0,364.0,75.5,Bay,Florida,0.24795552535382884,0.004176820695472865
148,25283,531.0,107312.0,41.8,45376.0,460.7,64.7,Bay,Michigan,0.23560272849261965,0.0049481884598181
153,11019,142.0,47575.0,44.2,40429.0,332.1,84.2,Beaufort,North Carolina,0.2316132422490804,0.0029847609038360485
154,39258,336.0,165354.0,41.5,57316.0,187.1,50.8,Beaufort,South Carolina,0.2374179034072354,0.002032004064008128
155,8497,133.0,35891.0,37.2,46385.0,530.0,96.6,Beauregard,Louisiana,0.2367445877796662,0.0037056643726839597
157,37438,668.0,170382.0,44.5,49217.0,382.6,71.8,Beaver,Pennsylvania,0.21972978366259346,0.0039206019415196445
