County,Name,Population,Median Age,Household Income
033,"Escambia County, Florida",300795.0,37.4,43918.0
053,"Hernando County, Florida",173119.0,48.0,41024.0
057,"Hillsborough County, Florida",1257913.0,36.3,49596.0
091,"Okaloosa County, Florida",185852.0,37.4,54684.0
123,"Taylor County, Florida",22660.0,41.4,36356.0
129,"Wakulla County, Florida",30824.0,39.6,52691.0
187,"Lumpkin County, Georgia",30428.0,36.1,43775.0
189,"McDuffie County, Georgia",21697.0,38.4,37487.0
201,"Miller County, Georgia",6054.0,42.3,32260.0
211,"Morgan County, Georgia",17870.0,41.2,47729.0
149,"Heard County, Georgia",11708.0,39.9,39909.0
219,"Oconee County, Georgia",33240.0,39.1,75004.0
095,"Dougherty County, Georgia",94220.0,33.6,31671.0
111,"Fannin County, Georgia",23614.0,48.9,34239.0
151,"Henry County, Georgia",206349.0,35.6,60781.0
153,"Houston County, Georgia",143205.0,34.4,54893.0
175,"Laurens County, Georgia",48203.0,38.2,34793.0
183,"Long County, Georgia",15285.0,29.9,42651.0
255,"Spalding County, Georgia",64011.0,37.2,41534.0
257,"Stephens County, Georgia",25910.0,40.7,37898.0
271,"Telfair County, Georgia",16391.0,39.4,26634.0
293,"Upson County, Georgia",26918.0,42.1,35329.0
303,"Washington County, Georgia",20982.0,39.1,33652.0
225,"Peach County, Georgia",27481.0,33.6,39844.0
229,"Pierce County, Georgia",18774.0,38.7,39067.0
231,"Pike County, Georgia",17807.0,38.4,53865.0
251,"Screven County, Georgia",14455.0,40.1,34848.0
267,"Tattnall County, Georgia",25343.0,36.1,37587.0
295,"Walker County, Georgia",68481.0,40.0,39963.0
135,"Gwinnett County, Georgia",825911.0,34.0,60445.0
049,"Charlton County, Georgia",13080.0,39.0,40111.0
015,"Bartow County, Georgia",100382.0,36.7,47197.0
097,"Douglas County, Georgia",133486.0,35.3,52691.0
161,"Jeff Davis County, Georgia",15042.0,35.9,36296.0
141,"Hancock County, Georgia",9233.0,42.7,25000.0
037,"Calhoun County, Georgia",6592.0,38.7,26986.0
285,"Troup County, Georgia",67776.0,36.1,41161.0
197,"Marion County, Georgia",8673.0,40.8,33301.0
249,"Schley County, Georgia",5017.0,40.0,38425.0
023,"Bleckley County, Georgia",12961.0,37.4,36073.0
109,"Evans County, Georgia",10902.0,35.6,36788.0
119,"Franklin County, Georgia",21998.0,40.2,34830.0
103,"Effingham County, Georgia",52961.0,36.0,63030.0
171,"Lamar County, Georgia",18139.0,38.1,41016.0
107,"Emanuel County, Georgia",22669.0,37.1,32046.0
239,"Quitman County, Georgia",2396.0,42.8,31068.0
159,"Jasper County, Georgia",13748.0,37.9,42192.0
173,"Lanier County, Georgia",10250.0,33.9,39452.0
179,"Liberty County, Georgia",64899.0,27.4,43832.0
205,"Mitchell County, Georgia",23340.0,37.2,32054.0
253,"Seminole County, Georgia",8831.0,44.0,30521.0
289,"Twiggs County, Georgia",8808.0,45.2,31234.0
233,"Polk County, Georgia",41308.0,37.3,39208.0
269,"Taylor County, Georgia",8595.0,40.7,27455.0
275,"Thomas County, Georgia",44692.0,39.1,34035.0
279,"Toombs County, Georgia",27229.0,35.9,31189.0
209,"Montgomery County, Georgia",9050.0,37.8,32702.0
221,"Oglethorpe County, Georgia",14730.0,41.9,45729.0
247,"Rockdale County, Georgia",85650.0,37.1,52579.0
305,"Wayne County, Georgia",30187.0,37.4,35830.0
309,"Wheeler County, Georgia",7746.0,36.7,24382.0
009,"Baldwin County, Georgia",46018.0,34.1,32751.0
061,"Harrison County, Indiana",39213.0,41.0,50510.0
169,"Wabash County, Indiana",32650.0,41.9,45286.0
075,"Jay County, Indiana",21333.0,39.1,40235.0
127,"Porter County, Indiana",165168.0,38.8,62794.0
147,"Spencer County, Indiana",20960.0,42.5,52991.0
157,"Tippecanoe County, Indiana",175628.0,28.0,44246.0
057,"Hamilton County, Indiana",282977.0,35.8,82468.0
087,"LaGrange County, Indiana",37463.0,30.6,47617.0
011,"Boone County, Indiana",58009.0,38.7,67255.0
107,"Montgomery County, Indiana",38215.0,39.8,46797.0
019,"Clark County, Indiana",111221.0,38.3,50496.0
021,"Clay County, Indiana",26865.0,40.8,46430.0
047,"Franklin County, Indiana",23042.0,40.2,49516.0
071,"Jackson County, Indiana",42769.0,38.7,46501.0
129,"Posey County, Indiana",25713.0,42.0,58750.0
165,"Vermillion County, Indiana",16098.0,41.7,42524.0
003,"Allen County, Indiana",358324.0,35.5,49370.0
043,"Floyd County, Indiana",75120.0,39.2,53961.0
081,"Johnson County, Indiana",141796.0,37.1,61231.0
051,"Gibson County, Indiana",33514.0,40.2,49329.0
117,"Orange County, Indiana",19829.0,40.2,38826.0
099,"Marshall County, Indiana",47057.0,38.4,45709.0
009,"Blackford County, Indiana",12665.0,41.9,39225.0
143,"Scott County, Indiana",24035.0,39.4,42898.0
039,"Elkhart County, Indiana",198662.0,35.1,45693.0
017,"Cass County, Indiana",38802.0,39.0,41940.0
021,"Bibb County, Georgia",155524.0,35.4,37550.0
177,"Wayne County, Indiana",68557.0,40.6,38350.0
023,"Butler County, Iowa",14909.0,43.5,52026.0
079,"Hamilton County, Iowa",15486.0,42.0,43589.0
175,"Union County, Iowa",12547.0,41.3,44838.0
195,"Worth County, Iowa",7562.0,44.0,50476.0
001,"Adair County, Iowa",7588.0,45.6,47892.0
037,"Chickasaw County, Iowa",12379.0,43.2,43971.0
059,"Dickinson County, Iowa",16818.0,48.4,56136.0
069,"Franklin County, Iowa",10623.0,43.4,48355.0
031,"Cedar County, Iowa",18452.0,42.8,58088.0
067,"Floyd County, Iowa",16177.0,43.7,43826.0
115,"Louisa County, Iowa",11348.0,39.7,50583.0
091,"Humboldt County, Iowa",9776.0,44.1,47897.0
183,"Washington County, Iowa",21834.0,42.0,54554.0
035,"Cherokee County, Iowa",12013.0,47.2,48977.0
057,"Des Moines County, Iowa",40301.0,41.8,42451.0
109,"Kossuth County, Iowa",15437.0,46.8,51812.0
139,"Muscatine County, Iowa",42798.0,38.2,51425.0
153,"Polk County, Iowa",438307.0,34.8,59018.0
107,"Keokuk County, Iowa",10428.0,44.0,42167.0
171,"Tama County, Iowa",17661.0,42.2,51670.0
225,"Union County, Kentucky",15138.0,37.0,39125.0
035,"Calloway County, Kentucky",37383.0,33.8,39677.0
011,"Banks County, Georgia",18333.0,38.8,41141.0
031,"Bulloch County, Georgia",71190.0,25.9,35840.0
059,"Clarke County, Georgia",118864.0,26.2,33060.0
061,"Clay County, Georgia",3133.0,40.7,21192.0
101,"Echols County, Georgia",4053.0,30.5,31375.0
127,"Glynn County, Georgia",80280.0,40.1,46407.0
089,"DeKalb County, Georgia",700308.0,34.6,50856.0
143,"Haralson County, Georgia",28594.0,39.8,39993.0
157,"Jackson County, Georgia",60577.0,37.5,53179.0
163,"Jefferson County, Georgia",16696.0,38.0,26968.0
169,"Jones County, Georgia",28650.0,38.5,51497.0
181,"Lincoln County, Georgia",7894.0,45.7,35625.0
213,"Murray County, Georgia",39504.0,36.9,34888.0
215,"Muscogee County, Georgia",194949.0,33.3,41339.0
235,"Pulaski County, Georgia",11775.0,42.1,41550.0
241,"Rabun County, Georgia",16271.0,46.4,35423.0
259,"Stewart County, Georgia",6007.0,38.3,23451.0
281,"Towns County, Georgia",10551.0,51.7,36570.0
283,"Treutlen County, Georgia",6817.0,38.7,37894.0
287,"Turner County, Georgia",8637.0,40.2,28326.0
003,"Atkinson County, Georgia",8332.0,34.7,30049.0
001,"Appling County, Georgia",18354.0,38.4,36786.0
025,"Brantley County, Georgia",18409.0,38.5,36070.0
017,"Ben Hill County, Georgia",17576.0,37.7,28547.0
047,"Catoosa County, Georgia",64606.0,38.8,47087.0
055,"Chattooga County, Georgia",25670.0,39.9,33228.0
073,"Columbia County, Georgia",128213.0,36.7,69306.0
115,"Floyd County, Georgia",96147.0,38.0,40821.0
117,"Forsyth County, Georgia",182916.0,37.3,86569.0
147,"Hart County, Georgia",25348.0,42.9,35615.0
185,"Lowndes County, Georgia",111334.0,29.5,37365.0
199,"Meriwether County, Georgia",21695.0,42.1,37333.0
237,"Putnam County, Georgia",21241.0,44.6,44764.0
261,"Sumter County, Georgia",32099.0,34.3,33796.0
301,"Warren County, Georgia",5706.0,43.4,27796.0
007,"Baker County, Georgia",3410.0,42.0,27353.0
035,"Butts County, Georgia",23563.0,38.3,49754.0
043,"Candler County, Georgia",11045.0,37.3,35070.0
045,"Carroll County, Georgia",111160.0,33.7,46147.0
099,"Early County, Georgia",10787.0,39.4,28853.0
081,"Crisp County, Georgia",23521.0,37.8,35240.0
077,"Coweta County, Georgia",129397.0,37.1,60813.0
067,"Cobb County, Georgia",699235.0,35.7,63920.0
083,"Dade County, Georgia",16580.0,39.4,43205.0
317,"Wilkes County, Georgia",10265.0,43.8,28983.0
027,"Brooks County, Georgia",15885.0,40.9,34419.0
129,"Gordon County, Georgia",55409.0,36.3,40926.0
105,"Elbert County, Georgia",19907.0,41.5,35817.0
165,"Jenkins County, Georgia",8642.0,40.0,26104.0
217,"Newton County, Georgia",100808.0,34.9,50580.0
