Cases,Deaths,Vaccination Rate,Population,Median Age,Household Income,Heart Disease,Stroke,Party,County,State,Cases per Capita,Deaths per Capita
6104,57.0,39.2,24657.0,43.8,36685.0,321.0,78.6,REPUBLICAN,Abbeville,South Carolina,0.24755647483473253,0.0023117167538630004
14951,269.0,51.8,62568.0,36.2,41177.0,476.2,93.6,REPUBLICAN,Acadia,Louisiana,0.23895601585475004,0.0042993223372970206
6569,90.0,70.7,32742.0,45.9,43210.0,411.2,92.1,REPUBLICAN,Accomack,Virginia,0.2006291613218496,0.002748763056624519
5535,56.0,44.0,25325.0,27.7,40046.0,335.1,80.7,REPUBLICAN,Adair,Missouri,0.21855873642645607,0.002211253701875617
6678,65.0,34.8,22113.0,37.6,32986.0,575.0,62.7,REPUBLICAN,Adair,Oklahoma,0.301994301994302,0.0029394473838918285
20940,218.0,52.0,66427.0,41.3,51398.0,312.9,77.8,REPUBLICAN,Adams,Illinois,0.31523326358257936,0.0032817980640402248
7066,105.0,32.4,35195.0,33.4,51713.0,309.8,72.6,REPUBLICAN,Adams,Indiana,0.2007671544253445,0.0029833783207842022
6221,129.0,52.6,31547.0,41.0,29203.0,340.3,108.5,DEMOCRAT,Adams,Mississippi,0.19719783180651093,0.0040891368434399465
5958,57.0,41.1,31583.0,37.4,51536.0,315.5,50.3,REPUBLICAN,Adams,Nebraska,0.18864579045689137,0.001804768388056866
6485,129.0,34.2,27878.0,42.0,36894.0,432.9,91.7,REPUBLICAN,Adams,Ohio,0.2326207044981706,0.004627304684697611
23387,321.0,53.9,102023.0,43.6,64507.0,354.0,55.8,REPUBLICAN,Adams,Pennsylvania,0.2292326240161532,0.0031463493525969635
4317,47.0,55.5,20073.0,53.3,43280.0,294.2,59.3,REPUBLICAN,Adams,Wisconsin,0.21506501270363174,0.0023414536940168386
3673,13.0,69.8,36939.0,43.7,65093.0,303.2,56.5,DEMOCRAT,Addison,Vermont,0.09943420233357698,0.00035193156284685565
37880,383.0,45.2,166926.0,41.0,50036.0,342.5,80.5,REPUBLICAN,Aiken,South Carolina,0.22692690174089117,0.002294429867126751
42740,388.0,56.9,160576.0,39.5,45735.0,321.8,81.4,REPUBLICAN,Alamance,North Carolina,0.2661667995217218,0.002416301315265046
9262,45.0,55.2,38102.0,27.3,46865.0,261.8,65.7,DEMOCRAT,Albany,Wyoming,0.24308435252742638,0.001181040365335153
13460,124.0,63.9,106355.0,38.8,75394.0,215.2,61.7,DEMOCRAT,Albemarle,Virginia,0.1265572845658408,0.001165906633444596
8960,125.0,37.8,37180.0,39.7,40180.0,518.5,102.0,REPUBLICAN,Alcorn,Mississippi,0.24098977945131791,0.0033620225927918235
9563,121.0,44.6,37119.0,43.4,44961.0,311.7,76.7,REPUBLICAN,Alexander,North Carolina,0.25763086290040144,0.00325978609337536
25344,305.0,51.0,115250.0,39.6,59883.0,303.2,67.5,REPUBLICAN,Allegan,Michigan,0.21990455531453362,0.0026464208242950107
15359,319.0,54.7,71977.0,41.7,44065.0,388.5,84.4,REPUBLICAN,Allegany,Maryland,0.21338760993095016,0.004431971324173
8249,142.0,43.0,47025.0,38.8,47033.0,350.0,57.4,REPUBLICAN,Allegany,New York,0.1754173312068049,0.003019670388091441
5830,88.0,38.6,20794.0,40.0,40893.0,387.9,82.1,REPUBLICAN,Allen,Kentucky,0.28036933730883906,0.004231989997114553
7181,120.0,35.1,25661.0,38.3,41009.0,457.0,106.1,REPUBLICAN,Allen,Louisiana,0.2798410038579946,0.00467635711780523
26508,416.0,42.5,103642.0,39.0,50552.0,389.0,80.8,REPUBLICAN,Allen,Ohio,0.2557650373400745,0.004013816792420062
5125,123.0,54.6,28612.0,47.8,41991.0,432.8,96.5,REPUBLICAN,Alpena,Michigan,0.179120648678876,0.004298895568293024
7958,73.0,54.8,37829.0,50.5,61198.0,300.0,70.2,REPUBLICAN,Amador,California,0.21036770731449417,0.0019297364455840758
6133,69.0,45.8,31882.0,44.3,49170.0,337.1,91.5,REPUBLICAN,Amherst,Virginia,0.19236559814315288,0.0021642306003387493
5481,59.0,54.0,22214.0,41.0,54160.0,337.5,79.7,REPUBLICAN,Anderson,Kentucky,0.24673629242819844,0.0026559827136040334
54138,857.0,39.5,195995.0,40.7,47906.0,353.1,73.7,REPUBLICAN,Anderson,South Carolina,0.27622133217684125,0.004372560524503176
18176,284.0,54.7,75775.0,43.3,49376.0,391.3,78.8,REPUBLICAN,Anderson,Tennessee,0.23986803035301882,0.003747937974265919
9187,218.0,38.6,57863.0,39.1,43355.0,482.4,88.1,REPUBLICAN,Anderson,Texas,0.1587715811485751,0.0037675198313257175
17465,187.0,68.4,107444.0,40.7,51412.0,310.4,77.4,REPUBLICAN,Androscoggin,Maine,0.16254979338073788,0.0017404415323331224
14669,442.0,45.8,87607.0,37.2,47714.0,395.1,140.3,REPUBLICAN,Angelina,Texas,0.16744095791432193,0.005045258940495623
5932,87.0,45.2,25306.0,40.5,39126.0,402.2,91.1,DEMOCRAT,Anson,North Carolina,0.23441081166521774,0.0034379198609025526
3957,53.0,57.2,23177.0,50.7,52589.0,311.8,86.0,REPUBLICAN,Antrim,Michigan,0.17072960262329034,0.0022867497950554427
20058,569.0,93.6,71522.0,34.7,32963.0,271.2,72.2,DEMOCRAT,Apache,Arizona,0.2804451777075585,0.007955594082939514
3529,70.0,56.1,24763.0,49.6,44865.0,347.7,61.7,REPUBLICAN,Aransas,Texas,0.14251100432096273,0.002826798045471066
14461,299.0,58.5,66331.0,46.3,49032.0,357.4,66.1,REPUBLICAN,Armstrong,Pennsylvania,0.21801269391385628,0.004507696250621881
8318,112.0,67.8,68269.0,47.6,39824.0,287.6,64.1,REPUBLICAN,Aroostook,Maine,0.12184153861928547,0.0016405689258667917
33209,264.0,49.6,121176.0,35.4,76589.0,342.4,84.9,REPUBLICAN,Ascension,Louisiana,0.2740559186637618,0.002178649237472767
5371,67.0,52.1,26786.0,47.7,40978.0,293.7,61.0,REPUBLICAN,Ashe,North Carolina,0.20051519450459196,0.0025013066527290375
11480,191.0,42.3,53477.0,40.3,52730.0,361.3,76.4,REPUBLICAN,Ashland,Ohio,0.21467172803261214,0.0035716289245844007
4675,56.0,48.6,20537.0,41.7,39635.0,449.6,101.1,REPUBLICAN,Ashley,Arkansas,0.22763792179967862,0.002726785801236792
18823,370.0,51.3,98136.0,42.4,44823.0,428.9,70.6,REPUBLICAN,Ashtabula,Ohio,0.19180524985734082,0.0037702779815765876
3928,55.0,40.4,22337.0,45.0,50423.0,301.1,75.6,REPUBLICAN,Asotin,Washington,0.17585172583605677,0.002462282311859247
5248,62.0,42.3,22714.0,40.5,44744.0,414.5,79.0,REPUBLICAN,Assumption,Louisiana,0.23104693140794225,0.0027295940829444396
12196,216.0,50.6,48828.0,35.4,55265.0,357.4,83.0,REPUBLICAN,Atascosa,Texas,0.24977471942328172,0.004423691324649791
13257,111.0,50.6,65936.0,28.9,37778.0,335.7,73.1,DEMOCRAT,Athens,Ohio,0.20105860228099975,0.001683450618781849
5322,93.0,36.7,25735.0,39.7,43761.0,347.9,80.2,REPUBLICAN,Audrain,Missouri,0.2068000777151739,0.0036137555857781232
11109,157.0,38.7,45784.0,41.3,61758.0,376.3,83.0,REPUBLICAN,Auglaize,Ohio,0.24263934999126333,0.0034291455530316268
16824,156.0,48.3,74701.0,44.8,61305.0,272.0,63.2,REPUBLICAN,Augusta,Virginia,0.22521786856936318,0.002088325457490529
5048,60.0,46.3,29565.0,40.7,65365.0,329.2,60.9,REPUBLICAN,Austin,Texas,0.17074243192964655,0.0020294266869609334
13251,163.0,42.6,55200.0,37.8,58786.0,381.2,107.0,REPUBLICAN,Autauga,Alabama,0.24005434782608695,0.0029528985507246376
10814,186.0,45.3,40882.0,37.9,38077.0,513.5,104.5,REPUBLICAN,Avoyelles,Louisiana,0.26451739151704906,0.004549679565578983
7942,127.0,35.4,27785.0,37.6,61769.0,371.0,100.4,REPUBLICAN,Baker,Florida,0.28583768220262734,0.004570811588986864
9043,207.0,43.0,45286.0,35.3,39426.0,534.2,83.2,DEMOCRAT,Baldwin,Georgia,0.1996864373095438,0.00457094907918562
