Cases,Deaths,Vaccination Rate,Population,Median Age,Household Income,Heart Disease,Stroke,Party,County,State,Cases per Capita,Deaths per Capita
6104,57.0,39.2,24657.0,43.8,36685.0,321.0,78.6,REPUBLICAN,Abbeville,South Carolina,0.24755647483473253,0.0023117167538630004
14951,269.0,51.8,62568.0,36.2,41177.0,476.2,93.6,REPUBLICAN,Acadia,Louisiana,0.23895601585475004,0.0042993223372970206
6569,90.0,70.7,32742.0,45.9,43210.0,411.2,92.1,REPUBLICAN,Accomack,Virginia,0.2006291613218496,0.002748763056624519
103141,915.0,62.9,446052.0,36.7,63137.0,285.2,69.3,REPUBLICAN,Ada,Idaho,0.23123088787854332,0.0020513303381668505
1488,46.0,48.5,7124.0,45.4,51859.0,293.1,60.1,REPUBLICAN,Adair,Iowa,0.20887142055025268,0.006457046603032005
4739,95.0,38.2,19241.0,41.5,39346.0,458.6,92.1,REPUBLICAN,Adair,Kentucky,0.24629697001195364,0.004937373317395146
5535,56.0,44.0,25325.0,27.7,40046.0,335.1,80.7,REPUBLICAN,Adair,Missouri,0.21855873642645607,0.002211253701875617
6678,65.0,34.8,22113.0,37.6,32986.0,575.0,62.7,REPUBLICAN,Adair,Oklahoma,0.301994301994302,0.0029394473838918285
125238,1202.0,66.0,497115.0,33.6,67575.0,256.3,72.9,DEMOCRAT,Adams,Colorado,0.2519296339881114,0.0024179515806201785
627,14.0,43.1,4019.0,54.2,45319.0,219.7,45.5,REPUBLICAN,Adams,Idaho,0.15600895745210253,0.0034834535954217467
20940,218.0,52.0,66427.0,41.3,51398.0,312.9,77.8,REPUBLICAN,Adams,Illinois,0.31523326358257936,0.0032817980640402248
7066,105.0,32.4,35195.0,33.4,51713.0,309.8,72.6,REPUBLICAN,Adams,Indiana,0.2007671544253445,0.0029833783207842022
739,12.0,55.5,3726.0,47.3,49229.0,399.9,64.7,REPUBLICAN,Adams,Iowa,0.19833601717659688,0.00322061191626409
6221,129.0,52.6,31547.0,41.0,29203.0,340.3,108.5,DEMOCRAT,Adams,Mississippi,0.19719783180651093,0.0040891368434399465
5958,57.0,41.1,31583.0,37.4,51536.0,315.5,50.3,REPUBLICAN,Adams,Nebraska,0.18864579045689137,0.001804768388056866
540,9.0,48.3,2351.0,46.1,54875.0,358.7,55.0,REPUBLICAN,Adams,North Dakota,0.22968949383241175,0.0038281582305401958
6485,129.0,34.2,27878.0,42.0,36894.0,432.9,91.7,REPUBLICAN,Adams,Ohio,0.2326207044981706,0.004627304684697611
23387,321.0,53.9,102023.0,43.6,64507.0,354.0,55.8,REPUBLICAN,Adams,Pennsylvania,0.2292326240161532,0.0031463493525969635
4534,35.0,57.0,19452.0,28.3,49142.0,291.0,77.7,REPUBLICAN,Adams,Washington,0.23308657207485092,0.0017993008431009664
4317,47.0,55.5,20073.0,53.3,43280.0,294.2,59.3,REPUBLICAN,Adams,Wisconsin,0.21506501270363174,0.0023414536940168386
3673,13.0,69.8,36939.0,43.7,65093.0,303.2,56.5,DEMOCRAT,Addison,Vermont,0.09943420233357698,0.00035193156284685565
37880,383.0,45.2,166926.0,41.0,50036.0,342.5,80.5,REPUBLICAN,Aiken,South Carolina,0.22692690174089117,0.002294429867126751
2688,58.0,57.9,15834.0,55.1,45989.0,259.5,65.8,REPUBLICAN,Aitkin,Minnesota,0.16976127320954906,0.003663003663003663
62121,539.0,65.0,263148.0,31.3,49078.0,238.1,75.7,DEMOCRAT,Alachua,Florida,0.23606867618222446,0.002048277015215772
42740,388.0,56.9,160576.0,39.5,45735.0,321.8,81.4,REPUBLICAN,Alamance,North Carolina,0.2661667995217218,0.002416301315265046
238446,1693.0,79.9,1643700.0,37.4,92574.0,214.0,79.1,DEMOCRAT,Alameda,California,0.14506661799598466,0.0010299933077812253
3970,58.0,55.1,16444.0,30.4,39191.0,319.7,74.5,REPUBLICAN,Alamosa,Colorado,0.24142544393091706,0.003527122354658234
55128,479.0,73.1,307426.0,37.9,64535.0,316.6,50.7,DEMOCRAT,Albany,New York,0.17932120250076442,0.0015580985342814205
9262,45.0,55.2,38102.0,27.3,46865.0,261.8,65.7,DEMOCRAT,Albany,Wyoming,0.24308435252742638,0.001181040365335153
13460,124.0,63.9,106355.0,38.8,75394.0,215.2,61.7,DEMOCRAT,Albemarle,Virginia,0.1265572845658408,0.001165906633444596
1608,63.0,57.4,10364.0,58.2,39735.0,461.5,91.5,REPUBLICAN,Alcona,Michigan,0.1551524507912003,0.006078734079505982
8960,125.0,37.8,37180.0,39.7,40180.0,518.5,102.0,REPUBLICAN,Alcorn,Mississippi,0.24098977945131791,0.0033620225927918235
1200,13.0,31.9,6532.0,42.8,34709.0,426.8,85.3,REPUBLICAN,Alexander,Illinois,0.1837109614206981,0.001990202082057563
9563,121.0,44.6,37119.0,43.4,44961.0,311.7,76.7,REPUBLICAN,Alexander,North Carolina,0.25763086290040144,0.00325978609337536
1596,10.0,44.5,5857.0,42.9,59569.0,356.1,93.8,REPUBLICAN,Alfalfa,Oklahoma,0.2724944510841728,0.0017073587160662455
1747,12.0,61.6,9194.0,49.4,46007.0,329.9,69.3,REPUBLICAN,Alger,Michigan,0.19001522732216664,0.0013051990428540352
2692,58.0,52.2,13880.0,44.8,51057.0,371.9,65.4,REPUBLICAN,Allamakee,Iowa,0.19394812680115273,0.004178674351585014
25344,305.0,51.0,115250.0,39.6,59883.0,303.2,67.5,REPUBLICAN,Allegan,Michigan,0.21990455531453362,0.0026464208242950107
15359,319.0,54.7,71977.0,41.7,44065.0,388.5,84.4,REPUBLICAN,Allegany,Maryland,0.21338760993095016,0.004431971324173
8249,142.0,43.0,47025.0,38.8,47033.0,350.0,57.4,REPUBLICAN,Allegany,New York,0.1754173312068049,0.003019670388091441
2599,11.0,57.6,10973.0,49.5,37558.0,302.7,64.5,REPUBLICAN,Alleghany,North Carolina,0.23685409641848174,0.0010024605850724505
3229,90.0,39.3,15286.0,47.4,47794.0,402.6,72.0,REPUBLICAN,Alleghany,Virginia,0.21123904226089232,0.00588774041606699
246575,2965.0,67.9,1225561.0,40.8,58383.0,363.0,65.3,DEMOCRAT,Allegheny,Pennsylvania,0.20119357583996228,0.0024193002225103444
99234,1082.0,51.0,370016.0,35.8,53402.0,328.2,83.4,REPUBLICAN,Allen,Indiana,0.2681884026636686,0.0029241978725244315
3704,36.0,45.0,12630.0,41.8,42679.0,357.6,78.4,REPUBLICAN,Allen,Kansas,0.2932699920823436,0.0028503562945368173
5830,88.0,38.6,20794.0,40.0,40893.0,387.9,82.1,REPUBLICAN,Allen,Kentucky,0.28036933730883906,0.004231989997114553
7181,120.0,35.1,25661.0,38.3,41009.0,457.0,106.1,REPUBLICAN,Allen,Louisiana,0.2798410038579946,0.00467635711780523
26508,416.0,42.5,103642.0,39.0,50552.0,389.0,80.8,REPUBLICAN,Allen,Ohio,0.2557650373400745,0.004013816792420062
1944,22.0,56.6,9214.0,40.2,24560.0,442.3,103.6,DEMOCRAT,Allendale,South Carolina,0.21098328630345126,0.002387670935532885
5125,123.0,54.6,28612.0,47.8,41991.0,432.8,96.5,REPUBLICAN,Alpena,Michigan,0.179120648678876,0.004298895568293024
124,0.0,0.0,1146.0,44.3,64688.0,313.9,83.3,DEMOCRAT,Alpine,California,0.1082024432809773,0.0
7958,73.0,54.8,37829.0,50.5,61198.0,300.0,70.2,REPUBLICAN,Amador,California,0.21036770731449417,0.0019297364455840758
2365,47.0,34.0,12854.0,46.0,58526.0,367.9,80.5,REPUBLICAN,Amelia,Virginia,0.183989419635911,0.0036564493542866035
6133,69.0,45.8,31882.0,44.3,49170.0,337.1,91.5,REPUBLICAN,Amherst,Virginia,0.19236559814315288,0.0021642306003387493
2869,59.0,38.9,12468.0,46.5,31854.0,490.3,86.4,REPUBLICAN,Amite,Mississippi,0.23010907924286172,0.004732114212383703
1993,23.0,42.1,7852.0,41.5,46274.0,346.8,77.4,REPUBLICAN,Anderson,Kansas,0.25382068262862967,0.0029291900152827307
5481,59.0,54.0,22214.0,41.0,54160.0,337.5,79.7,REPUBLICAN,Anderson,Kentucky,0.24673629242819844,0.0026559827136040334
